id,prov,ccaa,name
05001,ES-AV,ES-CL,Adanero
05002,ES-AV,ES-CL,La Adrada
05005,ES-AV,ES-CL,Albornos
05007,ES-AV,ES-CL,Aldeanueva de Santa Cruz
05008,ES-AV,ES-CL,Aldeaseca
05010,ES-AV,ES-CL,La Aldehuela
05012,ES-AV,ES-CL,Amavida
05013,ES-AV,ES-CL,El Arenal
05014,ES-AV,ES-CL,Arenas de San Pedro
05015,ES-AV,ES-CL,Arevalillo
05016,ES-AV,ES-CL,Arévalo
05017,ES-AV,ES-CL,Aveinte
05018,ES-AV,ES-CL,Avellaneda
05019,ES-AV,ES-CL,Ávila
05021,ES-AV,ES-CL,El Barco de Ávila
05022,ES-AV,ES-CL,El Barraco
05023,ES-AV,ES-CL,Barromán
05024,ES-AV,ES-CL,Becedas
05025,ES-AV,ES-CL,Becedillas
05026,ES-AV,ES-CL,Bercial de Zapardiel
05027,ES-AV,ES-CL,Las Berlanas
05029,ES-AV,ES-CL,Bernuy-Zapardiel
05030,ES-AV,ES-CL,Berrocalejo de Aragona
05033,ES-AV,ES-CL,Blascomillán
05034,ES-AV,ES-CL,Blasconuño de Matacabras
05035,ES-AV,ES-CL,Blascosancho
05036,ES-AV,ES-CL,El Bohodón
05037,ES-AV,ES-CL,Bohoyo
05038,ES-AV,ES-CL,Bonilla de la Sierra
05039,ES-AV,ES-CL,Brabos
05040,ES-AV,ES-CL,Bularros
05041,ES-AV,ES-CL,Burgohondo
05042,ES-AV,ES-CL,Cabezas de Alambre
05043,ES-AV,ES-CL,Cabezas del Pozo
05044,ES-AV,ES-CL,Cabezas del Villar
05045,ES-AV,ES-CL,Cabizuela
05046,ES-AV,ES-CL,Canales
05047,ES-AV,ES-CL,Candeleda
05048,ES-AV,ES-CL,Cantiveros
05049,ES-AV,ES-CL,Cardeñosa
05051,ES-AV,ES-CL,La Carrera
05052,ES-AV,ES-CL,Casas del Puerto
05053,ES-AV,ES-CL,Casasola
05054,ES-AV,ES-CL,Casavieja
