id,prov,ccaa,name
08001,ES-B,ES-CT,Abrera
08002,ES-B,ES-CT,Aguilar de Segarra
08003,ES-B,ES-CT,Alella
08004,ES-B,ES-CT,Alpens
08005,ES-B,ES-CT,l'Ametlla del Vallès
08006,ES-B,ES-CT,Arenys de Mar
08007,ES-B,ES-CT,Arenys de Munt
08008,ES-B,ES-CT,Argençola
08009,ES-B,ES-CT,Argentona
08010,ES-B,ES-CT,Artés
08011,ES-B,ES-CT,Avià
08012,ES-B,ES-CT,Avinyó
08013,ES-B,ES-CT,Avinyonet del Penedès
08014,ES-B,ES-CT,Aiguafreda
08015,ES-B,ES-CT,Badalona
08016,ES-B,ES-CT,Bagà
08017,ES-B,ES-CT,Balenyà
08018,ES-B,ES-CT,Balsareny
08019,ES-B,ES-CT,Barcelona
08020,ES-B,ES-CT,Begues
08021,ES-B,ES-CT,Bellprat
08022,ES-B,ES-CT,Berga
08023,ES-B,ES-CT,Bigues i Riells
08024,ES-B,ES-CT,Borredà
08025,ES-B,ES-CT,el Bruc
08026,ES-B,ES-CT,el Brull
08027,ES-B,ES-CT,les Cabanyes
08028,ES-B,ES-CT,Cabrera d'Anoia
08029,ES-B,ES-CT,Cabrera de Mar
08030,ES-B,ES-CT,Cabrils
08031,ES-B,ES-CT,Calaf
08032,ES-B,ES-CT,Caldes d'Estrac
08033,ES-B,ES-CT,Caldes de Montbui
08034,ES-B,ES-CT,Calders
08035,ES-B,ES-CT,Calella
08036,ES-B,ES-CT,Calonge de Segarra
08037,ES-B,ES-CT,Calldetenes
08038,ES-B,ES-CT,Callús
08039,ES-B,ES-CT,Campins
08040,ES-B,ES-CT,Canet de Mar
08041,ES-B,ES-CT,Canovelles
08042,ES-B,ES-CT,Cànoves i Samalús
08043,ES-B,ES-CT,Canyelles
08044,ES-B,ES-CT,Capellades
08045,ES-B,ES-CT,Capolat
08046,ES-B,ES-CT,Cardedeu
08047,ES-B,ES-CT,Cardona
08048,ES-B,ES-CT,Carme
08049,ES-B,ES-CT,Casserres
08050,ES-B,ES-CT,Castellar del Riu
08051,ES-B,ES-CT,Castellar del Vallès
08052,ES-B,ES-CT,Castellar de n'Hug
08053,ES-B,ES-CT,Castellbell i el Vilar
08054,ES-B,ES-CT,Castellbisbal
08055,ES-B,ES-CT,Castellcir
08056,ES-B,ES-CT,Castelldefels
08057,ES-B,ES-CT,Castell de l'Areny
08058,ES-B,ES-CT,Castellet i la Gornal
08059,ES-B,ES-CT,Castellfollit del Boix
08060,ES-B,ES-CT,Castellfollit de Riubregós
08061,ES-B,ES-CT,Castellgalí
08062,ES-B,ES-CT,Castellnou de Bages
08063,ES-B,ES-CT,Castellolí
08064,ES-B,ES-CT,Castellterçol
08065,ES-B,ES-CT,Castellví de la Marca
08066,ES-B,ES-CT,Castellví de Rosanes
08067,ES-B,ES-CT,Centelles
08068,ES-B,ES-CT,Cervelló
08069,ES-B,ES-CT,Collbató
08070,ES-B,ES-CT,Collsuspina
08071,ES-B,ES-CT,Copons
08072,ES-B,ES-CT,Corbera de Llobregat
08073,ES-B,ES-CT,Cornellà de Llobregat
08074,ES-B,ES-CT,Cubelles
08075,ES-B,ES-CT,Dosrius
08076,ES-B,ES-CT,Esparreguera
08077,ES-B,ES-CT,Esplugues de Llobregat
08078,ES-B,ES-CT,l'Espunyola
08079,ES-B,ES-CT,l'Estany
08080,ES-B,ES-CT,Fígols
08081,ES-B,ES-CT,Fogars de Montclús
08082,ES-B,ES-CT,Fogars de la Selva
08083,ES-B,ES-CT,Folgueroles
08084,ES-B,ES-CT,Fonollosa
08085,ES-B,ES-CT,Font-rubí
08086,ES-B,ES-CT,les Franqueses del Vallès
08087,ES-B,ES-CT,Gallifa
08088,ES-B,ES-CT,la Garriga
08089,ES-B,ES-CT,Gavà
08090,ES-B,ES-CT,Gaià
08091,ES-B,ES-CT,Gelida
08092,ES-B,ES-CT,Gironella
08093,ES-B,ES-CT,Gisclareny
08094,ES-B,ES-CT,la Granada
08095,ES-B,ES-CT,Granera
08096,ES-B,ES-CT,Granollers
08097,ES-B,ES-CT,Gualba
08098,ES-B,ES-CT,Sant Salvador de Guardiola
08099,ES-B,ES-CT,Guardiola de Berguedà
08100,ES-B,ES-CT,Gurb
08101,ES-B,ES-CT,l'Hospitalet de Llobregat
08103,ES-B,ES-CT,Jorba
08104,ES-B,ES-CT,la Llacuna
08105,ES-B,ES-CT,la Llagosta
08106,ES-B,ES-CT,Llinars del Vallès
08107,ES-B,ES-CT,Lliçà d'Amunt
08108,ES-B,ES-CT,Lliçà de Vall
08109,ES-B,ES-CT,Lluçà
08110,ES-B,ES-CT,Malgrat de Mar
08111,ES-B,ES-CT,Malla
08112,ES-B,ES-CT,Manlleu
08113,ES-B,ES-CT,Manresa
08114,ES-B,ES-CT,Martorell
08115,ES-B,ES-CT,Martorelles
08116,ES-B,ES-CT,les Masies de Roda
08117,ES-B,ES-CT,les Masies de Voltregà
08118,ES-B,ES-CT,el Masnou
08119,ES-B,ES-CT,Masquefa
08120,ES-B,ES-CT,Matadepera
08121,ES-B,ES-CT,Mataró
08122,ES-B,ES-CT,Mediona
08123,ES-B,ES-CT,Molins de Rei
08124,ES-B,ES-CT,Mollet del Vallès
08125,ES-B,ES-CT,Montcada i Reixac
08126,ES-B,ES-CT,Montgat
08127,ES-B,ES-CT,Monistrol de Montserrat
08128,ES-B,ES-CT,Monistrol de Calders
08129,ES-B,ES-CT,Muntanyola
08130,ES-B,ES-CT,Montclar
08131,ES-B,ES-CT,Montesquiu
08132,ES-B,ES-CT,Montmajor
08133,ES-B,ES-CT,Montmaneu
08134,ES-B,ES-CT,Figaró-Montmany
08135,ES-B,ES-CT,Montmeló
08136,ES-B,ES-CT,Montornès del Vallès
08137,ES-B,ES-CT,Montseny
08138,ES-B,ES-CT,Moià
08139,ES-B,ES-CT,Mura
08140,ES-B,ES-CT,Navarcles
08141,ES-B,ES-CT,Navàs
08142,ES-B,ES-CT,la Nou de Berguedà
08143,ES-B,ES-CT,Òdena
08144,ES-B,ES-CT,Olvan
08145,ES-B,ES-CT,Olèrdola
08146,ES-B,ES-CT,Olesa de Bonesvalls
08147,ES-B,ES-CT,Olesa de Montserrat
08148,ES-B,ES-CT,Olivella
08149,ES-B,ES-CT,Olost
08150,ES-B,ES-CT,Orís
08151,ES-B,ES-CT,Oristà
08152,ES-B,ES-CT,Orpí
08153,ES-B,ES-CT,Òrrius
08154,ES-B,ES-CT,Pacs del Penedès
08155,ES-B,ES-CT,Palafolls
08156,ES-B,ES-CT,Palau-solità i Plegamans
08157,ES-B,ES-CT,Pallejà
08158,ES-B,ES-CT,el Papiol
08159,ES-B,ES-CT,Parets del Vallès
08160,ES-B,ES-CT,Perafita
08161,ES-B,ES-CT,Piera
08162,ES-B,ES-CT,els Hostalets de Pierola
08163,ES-B,ES-CT,Pineda de Mar
08164,ES-B,ES-CT,el Pla del Penedès
08165,ES-B,ES-CT,la Pobla de Claramunt
08166,ES-B,ES-CT,la Pobla de Lillet
08167,ES-B,ES-CT,Polinyà
08168,ES-B,ES-CT,Pontons
08169,ES-B,ES-CT,el Prat de Llobregat
08170,ES-B,ES-CT,els Prats de Rei
08171,ES-B,ES-CT,Prats de Lluçanès
08172,ES-B,ES-CT,Premià de Mar
